ID;Tanggal Input;Nama Barang;Jumlah Barang Masuk;Jumlah Barang Keluar;Sisa Stok Barang;Satuan;Tanggal Keluar;Nama atau Bagian/Ruang yang Mengambil;User Input;Paraf
1;13/02/2026;Kunci Kontak;1;0;1;Pak;-;-;Administrator;
2;31/01/2026;Aqua Botol 330 ML;1;0;1;Dos;-;-;Administrator;
3;31/01/2026;Aqua Botol Pristine 400 ML;2;0;2;Dos;-;-;Administrator;
4;31/01/2026;Minuman Botol;8;0;8;Buah;-;-;Administrator;
5;31/01/2026;Minuman Kaleng;17;0;17;Buah;-;-;Administrator;
6;31/01/2026;Mente Sangrai;2;0;2;Bungkus;-;-;Administrator;
7;31/01/2026;Sendal Jepit Untuk Masjid;1;0;1;Pasang;-;-;Administrator;
8;29/01/2026;Aqua Botol 330 ML;1;0;1;Dos;-;-;Administrator;
9;29/01/2026;Teh Kotak;1;0;1;Dos;-;-;Administrator;
10;29/01/2026;Buavita;20;0;20;Buah;-;-;Administrator;
11;29/01/2026;Minuman Botol;6;0;6;Buah;-;-;Administrator;
12;29/01/2026;Minuman Kaleng;5;0;5;Buah;-;-;Administrator;
13;29/01/2026;Kue Kering;1;0;1;Bungkus;-;-;Administrator;
14;29/01/2026;Pengharum Ruangan Gantung;8;0;8;Buah;-;-;Administrator;
15;29/01/2026;Sarung Tangan Plastik;3;0;3;Buah;-;-;Administrator;
16;29/01/2026;Sarung Tangan Kain;6;0;6;Buah;-;-;Administrator;
17;29/01/2026;Teh Kotak;1;0;1;Dos;-;-;Administrator;
18;29/01/2026;Aqua Botol Pristine 400 ML;1;0;1;Dos;-;-;Administrator;
19;29/01/2026;Aqua Botol 330 ML;1;0;1;Dos;-;-;Administrator;
20;29/01/2026;Aqua Gelas;1;0;1;Dos;-;-;Administrator;
21;29/01/2026;Permen;6;0;6;Bungkus;-;-;Administrator;
22;29/01/2026;Minuman Botol;6;0;6;Buah;-;-;Administrator;
23;29/01/2026;Kacang Goreng;1;0;1;Bungkus;-;-;Administrator;
24;29/01/2026;Pengharum Ruangan Metic;3;0;3;Botol;-;-;Administrator;
25;29/01/2026;Mata Cutter;2;0;2;Buah;-;-;Administrator;
26;29/01/2026;Kertas Foto F4;3;0;3;Pak;-;-;Administrator;
27;27/01/2026;Minuman Kotak;8;0;8;Buah;-;-;Administrator;
28;27/01/2026;Mente Sangrai;3;0;3;Bungkus;-;-;Administrator;
29;27/01/2026;Botol Sprayer;2;0;2;Buah;-;-;Administrator;
30;22/01/2026;Tinta Printer Epson 003 Hitam;3;0;3;Botol;-;-;Administrator;
31;22/01/2026;Tinta Printer Epson 003 Biru;1;0;1;Botol;-;-;Administrator;
32;22/01/2026;Tinta Printer Epson 003 Merah;1;0;1;Botol;-;-;Administrator;
33;22/01/2026;Tinta Printer Epson 003 Kuning;1;0;1;Botol;-;-;Administrator;
34;21/01/2026;Tanah Humus;10;0;10;Box;-;-;Administrator;
35;21/01/2026;Bunga Melati Mini;10;0;10;Buah;-;-;Administrator;
36;21/01/2026;Bunga Putri Salju;10;0;10;Buah;-;-;Administrator;
37;21/01/2026;Bunga Legetan;10;0;10;Buah;-;-;Administrator;
38;21/01/2026;Bunga Pangkas Merah;30;0;30;Buah;-;-;Administrator;
39;19/01/2026;Buku Catatan Folio;1;0;1;Buah;-;-;Administrator;
40;19/01/2026;Buku Catatan Kwarto;1;0;1;Buah;-;-;Administrator;
41;19/01/2026;Map Biasa;1;0;1;Pak;-;-;Administrator;
42;19/01/2026;Gunting;4;0;4;Buah;-;-;Administrator;
43;19/01/2026;Pulpen;5;0;5;Pak;-;-;Administrator;
44;19/01/2026;Tissue Kotak;10;0;10;Buah;-;-;Administrator;
45;17/01/2026;HDMI Extender;1;0;1;Buah;-;-;Administrator;
46;15/01/2026;Baterai AA;3;0;3;Buah;-;-;Administrator;
47;14/01/2026;Toples Kaca Untuk Kue Ruang Pimpinan;2;0;2;Pak;-;-;Administrator;
48;14/01/2026;Toples Kaca Tempat Kopi, Gula, dan Teh;1;0;1;Pak;-;-;Administrator;
49;08/01/2026;Sapu Laba-Laba Panjang;1;0;1;Buah;-;-;Administrator;
50;08/01/2026;Parang;1;0;1;Buah;-;-;Administrator;
51;08/01/2026;Klem Kabel;2;0;2;Bungkus;-;-;Administrator;
52;08/01/2026;Keset Kaki;2;0;2;Buah;-;-;Administrator;
53;07/01/2026;Colokan;3;0;3;Buah;-;-;Administrator;
54;04/01/2026;Catridge 810;1;0;1;Buah;-;-;Administrator;
55;04/01/2026;Catridge 811;1;0;1;Buah;-;-;Administrator;
